Facility name,Address,Borough,ZIP Code,Accessible,Facility type,latitude,longitude
Morrisania Library,610 E 169 St,Bronx,10456,Yes,Library,40.8312462,-73.9018042
St George Center Library,5 Central Av,Staten Island,10301,Yes,Library,40.6416649,-74.076653
Inwood Library (Temporary Location),4857 Broadway,Manhattan,10034,Yes,Library,40.8669305,-73.9244046
Woodlawn Heights Library,4355 Katonah Av,Bronx,10470,Yes,Library,40.9004385,-73.8679472
Wakefield Library,4100 Lowerre Pl,Bronx,10466,Yes,Library,40.891088,-73.8595688
Van Cortlandt Library,3882 Cannon Pl,Bronx,10463,Yes,Library,40.88362,-73.894488
Mott Haven Library,321 E 140 St,Bronx,10454,Yes,Library,,
Kingsbridge Library,291 W 231 St,Bronx,10463,Yes,Library,,
Todt Hill-Westerleigh Library,2550 Victory Blvd,Staten Island,10314,Yes,Library,40.6095742,-74.1485027
Charleston Library,225 Bricktown Way,Staten Island,10309,Yes,Library,40.5310844,-74.23229
West Farms Library,2085 Honeywell Av,Bronx,10460,Yes,Library,40.8446871,-73.8830301
Bloomingdale Library,150 W 100 St,Manhattan,10025,Yes,Library,40.7863142,-73.9440445
Eastchester Library,1385 East Gun Hill Rd,Bronx,10469,Yes,,40.8701033,-73.8450498
Clason's Point Library,1215 Morrison Av,Bronx,10472,Yes,Library,40.8299911,-73.8750256
Jerome Park Library,118 Eames Pl,Bronx,10468,Yes,Library,40.8690367,-73.9012146
Ninety Sixth Street Library,112 E 96 St,Manhattan,10128,Yes,Library,40.7859845,-73.9517887
Washington Heights,1000 St Nicholas Av,Manhattan,10032,Yes,Library,40.8345215,-73.9396629
Macomb's Bridge Library,2633 Adam C Powell Blvd,Manhattan,10039,Yes,Library,,
Chatham Square Library,33 East Broadway,Manhattan,10002,Yes,Library,40.7133397,-73.996312
Tompkins Square Library,331 E 10 St,Manhattan,10009,Yes,Library,40.7273285,-73.9803904
Francis Martin Library,2150 University Av,Bronx,10453,Yes,Library,40.855583,-73.910378
High Bridge Library,78 W 168 St,Bronx,10452,Yes,Library,,
Baychester Library,2049 Asch Loop North,Bronx,10475,Yes,Library,,
Edenwald Library,1255 E 233 St,Bronx,10466,Yes,Library,,
Riverside Library,127 Amsterdam Av,Manhattan,10023,Yes,Library,40.774257,-73.984582
St Agnes Library,444 Amsterdam Av,Manhattan,10024,Yes,Library,40.7848662,-73.9774719
Hamilton Grange Library,503 W 145 St,Manhattan,10031,Yes,Library,40.8121344,-73.947926
George Bruce Library,518 W 125 St,Manhattan,10027,Yes,Library,40.8121344,-73.947926
North Forest Park Library,98-27 Metropolitan Av,Queens,11375,Yes,Library,40.7111452,-73.8536819
Queens Village Library,94-11 217 St,Queens,11428,No,Library,,
Howard Beach Library,92-06 156 Av,Queens,11414,Yes,Library,,
Windsor Park Library,79-50 Bell Boulevard,Queens,11364,Yes,Library,40.7344981,-73.7556826
Kew Gardens Hills Library,72-33 Vleigh Place,Queens,11367,Yes,Library,40.7259897,-73.8207633
Middle Village Library,72-31 Metropolitan Av,Queens,11379,Yes,Library,40.7127675,-73.8808775
North Hills Library,57-04 Marathon Pkwy,Queens,11362,No,Library,40.7592412,-73.7318354
Woodside Library,54-22 Skillman Av,Queens,11377,Yes,Library,40.7453529,-73.9097825
Corona Library,38-23 104 St,Queens,11368,No,Library,,
Douglaston-Little Neck Library,249-01 Northern Blvd,Queens,11362,No,Library,40.7682216,-73.7382341
JASA Bartow (Coop City NSC) -OLDER ADULTS ONLY,2049 Bartow Av,Bronx,10475,Yes,Older Adult Center,40.8708485,-73.8293268
South Hollis Library,204-01 Hollis Av,Queens,11412,Yes,Library,40.7069927,-73.7537881
Broad Channel Library,16-26 Crossbay Blvd,Queens,11693,No,Library,40.6631825,-73.8407508
McGoldrick Library,155-06 Roosevelt Av,Queens,11354,Yes,Library,40.7638004,-73.8098265
Rosedale Library,144-20 243 St,Queens,11422,No,Library,,
Borough Park Library,1265 43 St,Brooklyn,11219,No,Library,40.6801516,-73.9451589
Poppenhusen Library,121-23 14 Av,Queens,11356,Yes,Library,,
Baisley Park Library,117-11 Sutphin Blvd,Queens,11436,No,Library,40.6802928,-73.7916863
South Jamaica Library,108-41 Guy R Brewer Blvd,Queens,11433,Yes,Library,40.6956185,-73.7901765
Lefferts Library,103-34 Lefferts Blvd,Queens,11419,No,Library,40.6869064,-73.8248334
Senior Center @ St Peter's Church OAC -OLDER ADULTS ONLY,619 Lexington Av,Manhattan,10022,Yes,Older Adult Center,40.7586362,-73.9706764
RAIN Boston East OAC -OLDER ADULTS ONLY,3450 Boston Rd,Bronx,10469,Yes,Older Adult Center,40.876197,-73.8484475
Center @ Lenox Hill (ISC) OAC -OLDER ADULTS ONLY,343 E 70 St,Manhattan,10021,Yes,Older Adult Center,40.7652898,-73.9541036
Food Bank For New York City OAC -OLDER ADULTS ONLY,252 W 116 St,Manhattan,10026,Yes,Older Adult Center,40.8074093,-73.9624288
Westbeth OAC -OLDER ADULTS ONLY,155 Bank St.,Manhattan,10014,Yes,Older Adult Center,40.7362948,-74.009527
Great Kills Library,56 Giffords La,Staten Island,10308,Yes,Library,40.5524165,-74.1511208
City Island Library,320 City Island Av,Bronx,10464,Yes,Library,40.847784,-73.7864381
West New Brighton Library,976 Castleton Av,Staten Island,10310,Yes,Library,40.6345103,-74.1148171
Tottenville Library,7430 Amboy Rd,Staten Island,10307,Yes,Library,40.5095337,-74.2441069
Dongan Hills Library,1617 Richmond Rd,Staten Island,10304,Yes,Library,40.5903922,-74.1011466
Castle Hill Library,947 Castle Hill Av,Bronx,10473,Yes,Library,40.8266027,-73.8501796
Huguenot Park Library,830 Huguenot Av,Staten Island,10312,Yes,Library,40.5340596,-74.1932327
Soundview Library,660 Soundview Av,Bronx,10473,Yes,Library,40.8186958,-73.8628996
Spuyten Duyvil Library,650 W 235 St,Bronx,10463,Yes,Library,,
Riverdale Library,5540 Mosholu Av,Bronx,10471,Yes,Library,40.9036447,-73.9027291
Pelham Bay Library,3060 Middletown Rd,Bronx,10461,Yes,Library,40.8442613,-73.8278865
Throg's Neck Library,3025 Cross Bronx Exwy Ext,Bronx,10465,Yes,Library,,
Richmondtown Library,200 Clarke Av,Staten Island,10306,Yes,Library,40.5665295,-74.1385529
Battery Park City Library,175 North End Av,Manhattan,10282,Yes,Library,40.7157749,-74.0156954
Fifty Eighth Street Library,127 E 58 St,Manhattan,10022,Yes,Library,40.7619839,-73.9691028
Pomonok Library,158-21 Jewel Av,Queens,11365,No,Library,40.7324819,-73.809951
Midwood Library,975 E 16 St,Brooklyn,11230,Yes,Library,,
Jamaica Bay Library,9727 Seaview Av,Brooklyn,11236,Yes,Library,40.6344855,-73.8893236
East Flatbush Library,9612 Church Av,Brooklyn,11212,Yes,Library,40.6557085,-73.9149418
East Elmhurst Library,95-06 Astoria Blvd,Queens,11369,Yes,Library,40.7624551,-73.8737853
Fort Hamilton Library,9424 4 Av,Brooklyn,11209,Yes,Library,,
Walt Whitman Library,93 St Edwards St,Brooklyn,11205,No,Library,40.6944729,-73.9777359
Peninsula Library,92-25 Rockaway Beach Blvd,Queens,11693,Yes,Library,40.5858364,-73.8160619
Ozone Park Library,92-24 Rockaway Blvd,Queens,11417,Yes,Library,40.6808593,-73.8464709
Rego Park Library,91-41 63 Dr,Queens,11374,Yes,Library,,
Adams Street Library,9 Adams Street,Brooklyn,11201,Yes,Library,40.7043774,-73.988277
Elmhurst Library,86-07 Broadway,Queens,11373,Yes,Library,40.7385294,-73.8768712
Briarwood Library,85-12 Main St,Queens,11435,No,Library,40.7132288,-73.8168172
Paerdegat Library,850 E 59 St,Brooklyn,11234,Yes,Library,,
Dyker Library,8202 13 Av,Brooklyn,11228,Yes,Library,,
Saratoga Library,8 Thomas S Boyland St,Brooklyn,11233,Yes,Library,40.6848145,-73.9151529
Dekalb Library,790 Bushwick Av,Brooklyn,11221,Yes,Library,40.6948181,-73.9283986
Woodstock Library,761 E 160th St Bronx NY 10456,Bronx,10456,Yes,Library,40.8206173,-73.9046365
Bay Ridge Library,7223 Ridge Blvd,Brooklyn,11209,Yes,Library,40.6336272,-74.0295307
Maspeth Library,69-70 Grand Av,Queens,11378,Yes,Library,40.7269761,-73.8930853
McKinley Park Library,6802 Fort Hamilton Pkwy,Brooklyn,11219,No,Library,40.6292074,-74.0118679
New Lots Library,665 New Lots Av,Brooklyn,11207,Yes,Library,40.6651637,-73.8860303
Hudson Park Library,66 Leroy St,Manhattan,10014,No,Library,40.7298987,-74.0053266
Marcy Library,617 DeKalb Av,Brooklyn,11216,Yes,Library,40.6915784,-73.9512725
Belmont Library,610 E 186 St,Bronx,10458,Yes,Library,40.8312462,-73.9018042
Stone Avenue Library,581 Mother Gaston Blvd,Brooklyn,11212,Yes,Library,40.6644566,-73.9052086
Crown Heights Library,560 New York Av,Brooklyn,11225,Yes,Library,40.6612351,-73.9481368
Hunters Point Library,47-40 Center Blvd,Queens,11109,No,Library,40.7452553,-73.9580328
Kips Bay Library,446 3 Av,Manhattan,10016,Yes,Library,40.7689628,-73.9695918
Park Slope Library,431 6 Av,Brooklyn,11215,Yes,Library,40.7171704,-73.9465285
Sunnyside Library,43-06 Greenpoint Av,Queens,11104,Yes,Library,40.7408306,-73.9216882
Kensington Library,4207 18th Av,Brooklyn,11218,Yes,Library,40.6312326,-73.9753973
Clinton Hill Library,380 Washington Av,Brooklyn,11238,Yes,Library,40.6873761,-73.9660501
Long Island City Library,37-44 21 St,Queens,11101,Yes,Library,,
Kings Bay Library,3650 Nostrand Av,Brooklyn,11229,Yes,Library,40.5949105,-73.9411778
Washington Irving Library,360 Irving Av,Brooklyn,11237,Yes,Library,40.6974766,-73.9122144
Jackson Heights Library,35-51 81 St,Queens,11372,Yes,Library,,
Bushwick Library,340 Bushwick Av,Brooklyn,11206,Yes,Library,40.7045433,-73.9396434
Mitchell-Linden Library,31-32 Union St,Queens,11354,Yes,Library,40.7691516,-73.8269778
Arverne Library,312 Beach 54 St,Queens,11692,Yes,Library,,
Gravesend Library,303 Av X,Brooklyn,11223,Yes,Library,40.5905904,-73.9718089
Morningside Heights Library,2900 Broadway,Manhattan,10025,Yes,Library,40.8061122,-73.9647154
Brooklyn Heights Library,286 Cadman Plaza West,Brooklyn,11201,Yes,Library,40.696018,-73.991206
Gerritsen Beach Library,2808 Gerritsen Av,Brooklyn,11229,Yes,Library,40.5913311,-73.923915
Allerton Library,2740 Barnes Av,Bronx,10467,Yes,Library,40.8668078,-73.8632086
Sheepshead Bay Library,2636 E 14 St,Brooklyn,11235,No,Library,,
Ulmer Park Library,2602 Bath Ave,Brooklyn,11214,Yes,Library,40.5926337,-73.9886506
Glen Oaks Library,256-04 Union Turnpike,Queens,11004,Yes,Library,40.745161,-73.714852
Auburndale-Clearview Library,25-55 Francis Lewis Blvd,Queens,11358,Yes,Library,40.7737698,-73.7963484
Homecrest Library,2525 Coney Is Av,Brooklyn,11223,Yes,Library,40.5952276,-73.9606045
Bellerose Library,250-06 Hillside Av,Queens,11426,Yes,Library,40.7351504,-73.7170936
Pacific Library,25 4 Ave,Brooklyn,11217,No,Library,40.7378131,-73.9554334
Williamsburg Library,240 Division Av,Brooklyn,11211,Yes,Library,40.7069101,-73.9575371
Mill Basin Library,2385 Ralph Ave,Brooklyn,11234,Yes,Library,40.6198531,-73.917041
Flatbush Library,22 Linden Blvd,Brooklyn,11226,Yes,Library,40.6519204,-73.9582331
Cambria Heights Library,218-13 Linden Blvd,Queens,11411,Yes,Library,40.6957475,-73.7411249
Pelham Parkway-Van Nest Library,2147 Barnes Av,Bronx,10462,Yes,Library,40.8548756,-73.8641453
Bayside Library,214-20 Northern Blvd,Queens,11361,Yes,Library,40.7601426,-73.7683737
Kings Highway Library,2115 Ocean Av,Brooklyn,11229,Yes,Library,40.6102619,-73.9531398
Flatlands Library,2065 Flatbush Av,Brooklyn,11234,Yes,Library,40.6197924,-73.933196
Arlington Library,203 Arlington Av,Brooklyn,11207,No,Library,40.6806872,-73.8872323
Hollis Library,202-05 Hillside Av,Queens,11423,Yes,Library,40.7201622,-73.7623106
Ridgewood Library,20-12 Madison St,Queens,11385,Yes,Library,40.7051622,-73.9025584
East Flushing Library,196-36 Northern Blvd,Queens,11358,Yes,Library,40.7575366,-73.7843045
Fresh Meadows Library,193-20 Horace Harding Exwy,Queens,11365,Yes,Library,,
St Albans Library,191-05 Linden Blvd,Queens,11412,Yes,Library,40.6925287,-73.7601117
Coney Island Library,1901 Mermaid Av,Brooklyn,11224,Yes,Library,40.5767254,-73.9860737
Tremont Library,1866 Washington Av,Bronx,10457,Yes,Library,40.8460636,-73.8983426
New Utrecht Library,1743 86 St,Brooklyn,11214,Yes,Library,,
Sedgwick Library,1701 Dr M L King Jr Blvd,Bronx,10453,Yes,Library,,
Rochdale Village Library,169-09 137 Av,Queens,11434,Yes,Library,,
Highlawn Library,1664 W 13 St,Brooklyn,11223,Yes,Library,,
Far Rockaway Library,1637 Central Avenue,Queens,11691,Yes,Library,40.6089328,-73.7472293
Windsor Terrace,160 E 5 St,Brooklyn,11218,Yes,Library,,
Brighton Beach Library,16 Brighton First Road,Brooklyn,11235,Yes,Library,,
Canarsie Library,1580 Rockaway Pkwy,Brooklyn,11236,Yes,Library,40.6422103,-73.8995245
Whitestone Library,151-10 14 Rd,Queens,11357,Yes,Library,,
Astoria Library,14-01 Astoria Blvd,Queens,11102,No,Library,40.7723515,-73.928703
Cortelyou Library,1305 Cortelyou Rd,Brooklyn,11226,Yes,Library,40.6408392,-73.9659741
South Ozone Park Library,128-16 Rockaway Blvd,Queens,11420,Yes,Library,40.6747825,-73.8092607
Spring Creek Library,12143 Flatlands Ave,Brooklyn,11207,Yes,Library,40.6532991,-73.8859284
Cypress Hills Library,1197 Sutter Av,Brooklyn,11208,Yes,Library,40.6727436,-73.874044
Richmond Hill Library,118-14 Hillside Av,Queens,11418,No,Library,40.7007536,-73.8316447
Forest Hills Library,108-19 71 Av,Queens,11375,Yes,Library,,
Greenpoint Library,107 Norman Av,Brooklyn,11222,Yes,Library,40.7260597,-73.9507089
Eastern Parkway Library,1044 Eastern Pkwy,Brooklyn,11213,Yes,Library,40.6684643,-73.9336267
Langston Hughes Library,100-01 Northern Blvd,Queens,11368,Yes,Library,40.7577079,-73.8680872
Rugby Library,1000 Utica Av,Brooklyn,11203,No,Library,40.6486404,-73.9303975
Brooklyn Museum,200 Eastern Pkwy,Brooklyn,11238,Yes,Other,40.6709546,-73.9632948
QCH Queens Center for Gay Seniors (QCGS) OAC -OLDER ADULTS ONLY,37-06 77th Street,Queens,11372,Yes,Older Adult Center,40.7489899,-73.88923
Roundtable Senior OAC -OLDER ADULTS ONLY,1175 Gates Av,Brooklyn,11221,No,Older Adult Center,40.6917736,-73.920154
SAGE Brooklyn Stonewall Older Adult Center -OLDER ADULTS ONLY,271 Myrtle Avenue,Brooklyn,11201,Yes,Older Adult Center,40.6936502,-73.9783354
SAGE Center Harlem OAC -OLDER ADULTS ONLY,220 West 143rd Street,Manhattan,10030,Yes,Older Adult Center,40.8206553,-73.941213
SAGE Center Bronx at Crotona Pride House OAC -OLDER ADULTS ONLY,1784 Prospect Avenue,Bronx,10457,Yes,Older Adult Center,40.8414861,-73.8915836
Council of Peoples Organization: Halal OAC -OLDER ADULTS ONLY,1077 CONEY ISLAND AVENUE,Brooklyn,11230,Yes,Older Adult Center,40.6313315,-73.966217
Office of Council Member Nantasha Williams,172-12 Linden Blvd,Queens,11434,Yes,Other,40.691826,-73.7776301
New Beginnings (Riverdale Y) OAC -OLDER ADULTS ONLY,5625 Arlington Av,Bronx,10471,Yes,Older Adult Center,40.9049979,-73.908432
Korean Community Services Flushing + Satellite MN9 OAC -OLDER ADULTS ONLY,42-15 166 St,Queens,11358,Yes,Older Adult Center,,
Educational Alliance Sirovich OAC -OLDER ADULTS ONLY,331 E 12 St,Manhattan,10003,Yes,Older Adult Center,40.7305887,-73.9843102
RSS Center for Ageless Living OAC -OLDER ADULTS ONLY,2600 Netherland Av,Bronx,10463,Yes,Older Adult Center,40.8787539,-73.914437
Bronxworks Sedgwick SC -OLDER ADULTS ONLY,1553 University Ave.,Bronx,10453,Yes,Older Adult Center,40.8464327,-73.9219581
Jamaica Muslim Center OAC -OLDER ADULTS ONLY,85-37 168th Street,Queens,11432,Yes,Older Adult Center,40.712586,-73.7957335
Golden Phoenix 1 (ELMCOR NSC) -OLDER ADULTS ONLY,98-19 Astoria Blvd,Queens,11369,Yes,Older Adult Center,40.7624025,-73.8706067
Grace Agard Harewood OAC -OLDER ADULTS ONLY,966 Fulton St,Brooklyn,11238,Yes,Older Adult Center,40.6823741,-73.962241
Hazel Brooks OAC -OLDER ADULTS ONLY,961 Ocean Ave.,Brooklyn,11226,Yes,Older Adult Center,40.6389857,-73.9586355
Saratoga Square Senior Center -OLDER ADULTS ONLY,930 Halsey St,Brooklyn,11233,Yes,Older Adult Center,40.6851957,-73.9166618
Allen AME Theodora Jackson Older Adult Center -OLDER ADULTS ONLY,92-47 165th St.,Queens,11433,Yes,Older Adult Center,40.7043988,-73.7939195
SHOPP Casa Boricua (OAC) -OLDER ADULTS ONLY,910 E 172 St,Bronx,10460,Yes,Older Adult Center,,
Allen International Towers Affiliate Older Adult Center -OLDER ADULTS ONLY,90-20 170th Street,Queens,11432,No,Older Adult Center,40.7081664,-73.7906155
Shore Hill Older Adult Center -OLDER ADULTS ONLY,9000 Shore Rd,Brooklyn,11209,Yes,Older Adult Center,40.6219215,-74.0398679
Jamaica OAC -OLDER ADULTS ONLY,89-60 164th St.,Queens,11368,Yes,Older Adult Center,40.7057744,-73.7966752
Sumner Senior Club -OLDER ADULTS ONLY,862 Park Avenue,Brooklyn,11206,No,Older Adult Center,40.6981679,-73.940557
Agudath Israel Brookdale OAC -OLDER ADULTS ONLY,817 Av H,Brooklyn,11230,Yes,Older Adult Center,40.6294395,-73.9681622
QCH Kew Gardens Community Center OAC -OLDER ADULTS ONLY,80-02 Kew Gardens Road,Queens,11415,Yes,Older Adult Center,40.7135963,-73.8313568
Lifelong Learning Center OAC -OLDER ADULTS ONLY,755 10th Avenue,Manhattan,10019,Yes,Older Adult Center,40.7657029,-73.9914226
Ocean Bay CDC OAC -OLDER ADULTS ONLY,74-16 Beach Channel Drive,Queens,11693,Yes,Older Adult Center,40.5909106,-73.8028771
BCA Dyker Heights Older Adult Center OAC -OLDER ADULTS ONLY,7201 8TH AVE,Brooklyn,11228,Yes,Older Adult Center,40.6284836,-74.016625
Christopher Blenman OAC -OLDER ADULTS ONLY,720 East New York Av,Brooklyn,11203,Yes,Older Adult Center,40.6621364,-73.9382829
PSS Parkside OAC -OLDER ADULTS ONLY,644 Adee Av,Bronx,10467,Yes,Older Adult Center,40.8691585,-73.869177
BCA Bensonhurst Older Adult Center OAC -OLDER ADULTS ONLY,6409 20TH AVE,Brooklyn,11204,Yes,Older Adult Center,40.616715,-73.9852472
Wayside Out Tilden Senior Center -OLDER ADULTS ONLY,630 Mother Gaston Blvd,Brooklyn,11212,Yes,Older Adult Center,40.6634787,-73.9056005
AMICO 59th St Senior Citizen OAC -OLDER ADULTS ONLY,5901 13 Av,Brooklyn,11219,Yes,Older Adult Center,,
Sam Field Older Adult Center -OLDER ADULTS ONLY,58-20 Little Neck Pkwy,Queens,11362,Yes,Older Adult Center,40.7608127,-73.7232716
Stuyvesant Heights OAC -OLDER ADULTS ONLY,562-574 Madison St.,Brooklyn,11221,Yes,Older Adult Center,,
Wayside Out Tompkins Park Senior Center -OLDER ADULTS ONLY,550 Greene Av,Brooklyn,11216,Yes,Older Adult Center,40.6883036,-73.9484211
CPC NY Chinatown Neighborhood OAC -OLDER ADULTS ONLY,55 CHRYSTIE STREET,Manhattan,10002,Yes,Older Adult Center,40.7166773,-73.9946785
BCA 6th Avenue Older Adult Center -OLDER ADULTS ONLY,545 60 St,Brooklyn,11220,No,Older Adult Center,42.0934178,-79.2426667
FIND Aid Clinton OAC -OLDER ADULTS ONLY,530 W 55 St,Manhattan,10019,Yes,Older Adult Center,40.767978,-73.9909873
Wayside Out Brownsville Social Club -OLDER ADULTS ONLY,528 Mother Gaston Blvd,Brooklyn,11212,No,Older Adult Center,40.6660034,-73.9061703
Woodside Older Adult Center -OLDER ADULTS ONLY,50-37 Newtown Rd,Queens,11377,Yes,Older Adult Center,40.7538395,-73.9107617
Crown Heights Preservation Committee Corporation NSC -OLDER ADULTS ONLY,483 Albany Av,Brooklyn,11203,Yes,Older Adult Center,40.6634054,-73.939668
Bergen Basin Vandalia Older Adult Center -OLDER ADULTS ONLY,47 Vandalia Av,Brooklyn,11239,Yes,Older Adult Center,40.6502133,-73.8870154
Wayside Out Rosetta Gaston Senior Center -OLDER ADULTS ONLY,460 Dumont Av,Brooklyn,11212,Yes,Older Adult Center,40.6650331,-73.902121
Times Plaza Center OAC -OLDER ADULTS ONLY,460 Atlantic Av,Brooklyn,11217,Yes,Older Adult Center,40.6859812,-73.9830589
Sunset Park OAC -OLDER ADULTS ONLY,4520 Fourth Av,Brooklyn,11220,Yes,Older Adult Center,,
Hugh Gilroy OAC -OLDER ADULTS ONLY,447 Kingsborough 4 Walk,Brooklyn,11233,Yes,Older Adult Center,,
Wagner Satellite OAC -OLDER ADULTS ONLY,435 E 120 St,Manhattan,10035,No,Older Adult Center,40.8099182,-73.9605888
Wayside Out Van Dyke II Senior Center -OLDER ADULTS ONLY,430 Dumont Av,Brooklyn,11212,Yes,Older Adult Center,40.664615,-73.9031727
Hamilton Grange NSC -OLDER ADULTS ONLY,420 W 145 St,Manhattan,10031,Yes,Older Adult Center,40.8121344,-73.947926
Stanley Isaacs NSC/Holmes OAC -OLDER ADULTS ONLY,415 E 93 St,Manhattan,10128,Yes,Older Adult Center,40.7812635,-73.945134
CPC Brooklyn OAC -OLDER ADULTS ONLY,4101 8th Avenue,Brooklyn,11232,Yes,Older Adult Center,40.6458949,-73.998327
Raices Bland Social Club OAC -OLDER ADULTS ONLY,40-15 College Pt Blvd,Queens,11354,No,Older Adult Center,40.7577913,-73.8338808
Maria Lawton OAC -OLDER ADULTS ONLY,400 Hart St,Brooklyn,11206,Yes,Older Adult Center,40.6967229,-73.9296002
Korean Community Services Corona OAC -OLDER ADULTS ONLY,37-06 111 St,Queens,11368,Yes,Older Adult Center,,
Wayside Out Tompkins Louis Armstrong Center -OLDER ADULTS ONLY,360 Nostrand Avenue,Brooklyn,11216,No,Older Adult Center,40.6872628,-73.9511627
Bronxworks Twin Parks West OAC -OLDER ADULTS ONLY,355 East 183 Street,Bronx,10458,Yes,Older Adult Center,,
MMCC-CDC OAC Main Building -OLDER ADULTS ONLY,3450 Dekalb Av,Bronx,10467,Yes,Older Adult Center,40.8814858,-73.8807373
Good Companions -OLDER ADULTS ONLY,334 Madison St.,Manhattan,10002,Yes,Older Adult Center,40.7130611,-73.9827774
FIND Aid Coffeehouse OAC -OLDER ADULTS ONLY,331 W 42 St,Manhattan,10036,Yes,Older Adult Center,40.7578334,-73.9909913
St Gabriels Episcopal Church OAC -OLDER ADULTS ONLY,331 Hawthorne St,Brooklyn,11225,Yes,Older Adult Center,40.6579833,-73.9493873
Remsen Sarita Jean OAC -OLDER ADULTS ONLY,3304 Clarendon Rd,Brooklyn,11203,Yes,Older Adult Center,40.6431772,-73.945592
Independence Plaza OAC -OLDER ADULTS ONLY,310 Greenwich Street,Manhattan,10013,Yes,Older Adult Center,40.7178024,-74.0113957
ARC XVI Ft Washington OAC -OLDER ADULTS ONLY,309 AUDUBON AVE,Manhattan,10033,Yes,Older Adult Center,40.8484206,-73.9322793
Bergen Basin Marine Park OAC -OLDER ADULTS ONLY,3000 Fillmore Av,Brooklyn,11234,Yes,Older Adult Center,40.608574,-73.937343
Polo Grounds Satellite OAC -OLDER ADULTS ONLY,2965 8 Av,Manhattan,10039,Yes,Older Adult Center,40.7538222,-73.9806346
Prospect Hill OAC -OLDER ADULTS ONLY,283 Prospect Av,Brooklyn,11215,Yes,Older Adult Center,40.6635387,-73.9887943
RAICES WYCKOFF Gardens OAC -OLDER ADULTS ONLY,280 Wyckoff St,Brooklyn,11217,Yes,Older Adult Center,40.6829202,-73.9831074
Brevoort Senior Club OAC -OLDER ADULTS ONLY,280 Ralph Avenue,Brooklyn,11233,Yes,Older Adult Center,40.6798555,-73.9233839
Young Israel Wavecrest Baywater Senior League OAC -OLDER ADULTS ONLY,2716 Healy Av,Queens,11691,Yes,Older Adult Center,40.6042557,-73.7652396
Zest for Life OAC -OLDER ADULTS ONLY,261 East 21st Street,Brooklyn,11236,Yes,Older Adult Center,40.6480636,-73.9590776
Our Lady of Pompeii OAC -OLDER ADULTS ONLY,25 Carmine St,Manhattan,10014,Yes,Older Adult Center,40.7305504,-74.0028468
Sister Annunciata Bethell OAC -OLDER ADULTS ONLY,243 E 204 St,Bronx,10458,Yes,Older Adult Center,,
Central Harlem SC Ctr Beatrice Lewis -OLDER ADULTS ONLY,2322 3 Av,Manhattan,10035,Yes,Older Adult Center,40.7538222,-73.9806346
CCNS Riverway OAC (ISC) -OLDER ADULTS ONLY,230 Riverdale Av,Brooklyn,11212,Yes,Older Adult Center,40.6609932,-73.9081052
JCCGCI Marlboro OAC -OLDER ADULTS ONLY,2298 W 8 St,Brooklyn,11223,Yes,Older Adult Center,,
RAICES Farragut OAC -OLDER ADULTS ONLY,228 York St,Brooklyn,11201,No,Older Adult Center,40.7006788,-73.9813917
ABSW OAC -OLDER ADULTS ONLY,221 W 107 St,Manhattan,10025,Yes,Older Adult Center,40.800489,-73.9637267
Bergen Basin Midwood OAC -OLDER ADULTS ONLY,2164 Ralph Av,Brooklyn,11234,Yes,Older Adult Center,40.6249497,-73.9179107
Raices Astoria NSC -OLDER ADULTS ONLY,21-21 30 Drive,Queens,11102,Yes,Older Adult Center,,
Samuel Field Y Bay Terrace Older Adult Center -OLDER ADULTS ONLY,21200 23rd Avenue,Queens,11360,Yes,Older Adult Center,40.7804717,-73.7792117
Central Harlem St Nick OAC -OLDER ADULTS ONLY,210 West 131st Street,Manhattan,10027,No,Older Adult Center,40.8126583,-73.9464536
Bergen Basin Mill Basin OAC -OLDER ADULTS ONLY,2075 E 68 St,Brooklyn,11234,Yes,Older Adult Center,,
JASA Williamsburg OAC -OLDER ADULTS ONLY,202 Graham Av,Brooklyn,11206,Yes,Older Adult Center,40.7089835,-73.9433105
Center on the Square OAC -OLDER ADULTS ONLY,20 Washington Square North,Manhattan,10011,Yes,Older Adult Center,40.7319436,-73.9977667
Educational Alliance Weinberg Older Adult Center -OLDER ADULTS ONLY,197 East Broadway,Manhattan,10002,Yes,Older Adult Center,40.7140867,-73.9883066
SBH Older Adult Center Senior Pavilion -OLDER ADULTS ONLY,1963 McDonald Avenue,Brooklyn,11223,Yes,Older Adult Center,40.6048846,-73.9718636
Albany OAC -OLDER ADULTS ONLY,196 Albany Av,Brooklyn,11213,Yes,Older Adult Center,40.6739945,-73.939236
Grant Sq OAC -OLDER ADULTS ONLY,19 Grant Sq,Brooklyn,11216,Yes,Older Adult Center,40.6767439,-73.9523785
University Settlement OAC -OLDER ADULTS ONLY,189 Allen St,Manhattan,10002,No,Older Adult Center,40.7220875,-73.9894345
JCCGCI Kings Highway Older Adult Center -OLDER ADULTS ONLY,1879 East 3rd Street,Brooklyn,11223,Yes,Older Adult Center,40.6042585,-73.9696956
JASA Van Cortlandt OAC -OLDER ADULTS ONLY,185 West 231st St,Bronx,10463,Yes,Older Adult Center,40.878752,-73.9041039
Council of Peoples Organization: Satellite -OLDER ADULTS ONLY,1814 Coney Island Ave,Brooklyn,11230,Yes,Older Adult Center,40.6131493,-73.9633372
NYFSC Mott Street OAC -OLDER ADULTS ONLY,180 Mott St,Manhattan,10012,Yes,Older Adult Center,40.7205457,-73.995617
