Facility name,Address,Borough,ZIP Code,Accessible,Facility type
SAGE Center Harlem OAC -OLDER ADULTS ONLY,220 West 143rd Street,Manhattan,10030,Yes,Older Adult Center
SAGE Center Bronx at Crotona Pride House OAC -OLDER ADULTS ONLY,1784 Prospect Avenue,Bronx,10457,Yes,Older Adult Center
Council of Peoples Organization: Halal OAC -OLDER ADULTS ONLY,1077 CONEY ISLAND AVENUE,Brooklyn,11230,Yes,Older Adult Center
Office of Council Member Nantasha Williams,172-12 Linden Blvd,Queens,11434,Yes,Other
New Beginnings (Riverdale Y) OAC -OLDER ADULTS ONLY,5625 Arlington Av,Bronx,10471,Yes,Older Adult Center
Korean Community Services Flushing + Satellite MN9 OAC -OLDER ADULTS ONLY,42-15 166 St,Queens,11358,Yes,Older Adult Center
Educational Alliance Sirovich OAC -OLDER ADULTS ONLY,331 E 12 St,Manhattan,10003,Yes,Older Adult Center
RSS Center for Ageless Living OAC -OLDER ADULTS ONLY,2600 Netherland Av,Bronx,10463,Yes,Older Adult Center
Bronxworks Sedgwick SC -OLDER ADULTS ONLY,1553 University Ave.,Bronx,10453,Yes,Older Adult Center
Jamaica Muslim Center OAC -OLDER ADULTS ONLY,85-37 168th Street,Queens,11432,Yes,Older Adult Center
Golden Phoenix 1 (ELMCOR NSC) -OLDER ADULTS ONLY,98-19 Astoria Blvd,Queens,11369,Yes,Older Adult Center
Grace Agard Harewood OAC -OLDER ADULTS ONLY,966 Fulton St,Brooklyn,11238,Yes,Older Adult Center
Hazel Brooks OAC -OLDER ADULTS ONLY,961 Ocean Ave.,Brooklyn,11226,Yes,Older Adult Center
Saratoga Square Senior Center -OLDER ADULTS ONLY,930 Halsey St,Brooklyn,11233,Yes,Older Adult Center
Allen AME Theodora Jackson Older Adult Center -OLDER ADULTS ONLY,92-47 165th St.,Queens,11433,Yes,Older Adult Center
SHOPP Casa Boricua (OAC) -OLDER ADULTS ONLY,910 E 172 St,Bronx,10460,Yes,Older Adult Center
Allen International Towers Affiliate Older Adult Center -OLDER ADULTS ONLY,90-20 170th Street,Queens,11432,No,Older Adult Center
Shore Hill Older Adult Center -OLDER ADULTS ONLY,9000 Shore Rd,Brooklyn,11209,Yes,Older Adult Center
Jamaica OAC -OLDER ADULTS ONLY,89-60 164th St.,Queens,11368,Yes,Older Adult Center
Sumner Senior Club -OLDER ADULTS ONLY,862 Park Avenue,Brooklyn,11206,No,Older Adult Center
Agudath Israel Brookdale OAC -OLDER ADULTS ONLY,817 Av H,Brooklyn,11230,Yes,Older Adult Center
QCH Kew Gardens Community Center OAC -OLDER ADULTS ONLY,80-02 Kew Gardens Road,Queens,11415,Yes,Older Adult Center
Lifelong Learning Center OAC -OLDER ADULTS ONLY,755 10th Avenue,Manhattan,10019,Yes,Older Adult Center
Ocean Bay CDC OAC -OLDER ADULTS ONLY,74-16 Beach Channel Drive,Queens,11693,Yes,Older Adult Center
BCA Dyker Heights Older Adult Center OAC -OLDER ADULTS ONLY,7201 8TH AVE,Brooklyn,11228,Yes,Older Adult Center
Christopher Blenman OAC -OLDER ADULTS ONLY,720 East New York Av,Brooklyn,11203,Yes,Older Adult Center
PSS Parkside OAC -OLDER ADULTS ONLY,644 Adee Av,Bronx,10467,Yes,Older Adult Center
BCA Bensonhurst Older Adult Center OAC -OLDER ADULTS ONLY,6409 20TH AVE,Brooklyn,11204,Yes,Older Adult Center
Wayside Out Tilden Senior Center -OLDER ADULTS ONLY,630 Mother Gaston Blvd,Brooklyn,11212,Yes,Older Adult Center
AMICO 59th St Senior Citizen OAC -OLDER ADULTS ONLY,5901 13 Av,Brooklyn,11219,Yes,Older Adult Center
Sam Field Older Adult Center -OLDER ADULTS ONLY,58-20 Little Neck Pkwy,Queens,11362,Yes,Older Adult Center
Stuyvesant Heights OAC -OLDER ADULTS ONLY,562-574 Madison St.,Brooklyn,11221,Yes,Older Adult Center
Wayside Out Tompkins Park Senior Center -OLDER ADULTS ONLY,550 Greene Av,Brooklyn,11216,Yes,Older Adult Center
CPC NY Chinatown Neighborhood OAC -OLDER ADULTS ONLY,55 CHRYSTIE STREET,Manhattan,10002,Yes,Older Adult Center
BCA 6th Avenue Older Adult Center -OLDER ADULTS ONLY,545 60 St,Brooklyn,11220,No,Older Adult Center
FIND Aid Clinton OAC -OLDER ADULTS ONLY,530 W 55 St,Manhattan,10019,Yes,Older Adult Center
Wayside Out Brownsville Social Club -OLDER ADULTS ONLY,528 Mother Gaston Blvd,Brooklyn,11212,No,Older Adult Center
Woodside Older Adult Center -OLDER ADULTS ONLY,50-37 Newtown Rd,Queens,11377,Yes,Older Adult Center
Crown Heights Preservation Committee Corporation NSC -OLDER ADULTS ONLY,483 Albany Av,Brooklyn,11203,Yes,Older Adult Center
Bergen Basin Vandalia Older Adult Center -OLDER ADULTS ONLY,47 Vandalia Av,Brooklyn,11239,Yes,Older Adult Center
Wayside Out Rosetta Gaston Senior Center -OLDER ADULTS ONLY,460 Dumont Av,Brooklyn,11212,Yes,Older Adult Center
Times Plaza Center OAC -OLDER ADULTS ONLY,460 Atlantic Av,Brooklyn,11217,Yes,Older Adult Center
Sunset Park OAC -OLDER ADULTS ONLY,4520 Fourth Av,Brooklyn,11220,Yes,Older Adult Center
Hugh Gilroy OAC -OLDER ADULTS ONLY,447 Kingsborough 4 Walk,Brooklyn,11233,Yes,Older Adult Center
Wagner Satellite OAC -OLDER ADULTS ONLY,435 E 120 St,Manhattan,10035,No,Older Adult Center
Wayside Out Van Dyke II Senior Center -OLDER ADULTS ONLY,430 Dumont Av,Brooklyn,11212,Yes,Older Adult Center
Hamilton Grange NSC -OLDER ADULTS ONLY,420 W 145 St,Manhattan,10031,Yes,Older Adult Center
Stanley Isaacs NSC/Holmes OAC -OLDER ADULTS ONLY,415 E 93 St,Manhattan,10128,Yes,Older Adult Center
CPC Brooklyn OAC -OLDER ADULTS ONLY,4101 8th Avenue,Brooklyn,11232,Yes,Older Adult Center
Raices Bland Social Club OAC -OLDER ADULTS ONLY,40-15 College Pt Blvd,Queens,11354,No,Older Adult Center
Maria Lawton OAC -OLDER ADULTS ONLY,400 Hart St,Brooklyn,11206,Yes,Older Adult Center
Korean Community Services Corona OAC -OLDER ADULTS ONLY,37-06 111 St,Queens,11368,Yes,Older Adult Center
Wayside Out Tompkins Louis Armstrong Center -OLDER ADULTS ONLY,360 Nostrand Avenue,Brooklyn,11216,No,Older Adult Center
Bronxworks Twin Parks West OAC -OLDER ADULTS ONLY,355 East 183 Street,Bronx,10458,Yes,Older Adult Center
MMCC-CDC OAC Main Building -OLDER ADULTS ONLY,3450 Dekalb Av,Bronx,10467,Yes,Older Adult Center
Good Companions -OLDER ADULTS ONLY,334 Madison St.,Manhattan,10002,Yes,Older Adult Center
FIND Aid Coffeehouse OAC -OLDER ADULTS ONLY,331 W 42 St,Manhattan,10036,Yes,Older Adult Center
St Gabriels Episcopal Church OAC -OLDER ADULTS ONLY,331 Hawthorne St,Brooklyn,11225,Yes,Older Adult Center
Remsen Sarita Jean OAC -OLDER ADULTS ONLY,3304 Clarendon Rd,Brooklyn,11203,Yes,Older Adult Center
Independence Plaza OAC -OLDER ADULTS ONLY,310 Greenwich Street,Manhattan,10013,Yes,Older Adult Center
ARC XVI Ft Washington OAC -OLDER ADULTS ONLY,309 AUDUBON AVE,Manhattan,10033,Yes,Older Adult Center
Bergen Basin Marine Park OAC -OLDER ADULTS ONLY,3000 Fillmore Av,Brooklyn,11234,Yes,Older Adult Center
Polo Grounds Satellite OAC -OLDER ADULTS ONLY,2965 8 Av,Manhattan,10039,Yes,Older Adult Center
Prospect Hill OAC -OLDER ADULTS ONLY,283 Prospect Av,Brooklyn,11215,Yes,Older Adult Center
RAICES WYCKOFF Gardens OAC -OLDER ADULTS ONLY,280 Wyckoff St,Brooklyn,11217,Yes,Older Adult Center
Brevoort Senior Club OAC -OLDER ADULTS ONLY,280 Ralph Avenue,Brooklyn,11233,Yes,Older Adult Center
Young Israel Wavecrest Baywater Senior League OAC -OLDER ADULTS ONLY,2716 Healy Av,Queens,11691,Yes,Older Adult Center
Zest for Life OAC -OLDER ADULTS ONLY,261 East 21st Street,Brooklyn,11236,Yes,Older Adult Center
Our Lady of Pompeii OAC -OLDER ADULTS ONLY,25 Carmine St,Manhattan,10014,Yes,Older Adult Center
Sister Annunciata Bethell OAC -OLDER ADULTS ONLY,243 E 204 St,Bronx,10458,Yes,Older Adult Center
Central Harlem SC Ctr Beatrice Lewis -OLDER ADULTS ONLY,2322 3 Av,Manhattan,10035,Yes,Older Adult Center
CCNS Riverway OAC (ISC) -OLDER ADULTS ONLY,230 Riverdale Av,Brooklyn,11212,Yes,Older Adult Center
JCCGCI Marlboro OAC -OLDER ADULTS ONLY,2298 W 8 St,Brooklyn,11223,Yes,Older Adult Center
RAICES Farragut OAC -OLDER ADULTS ONLY,228 York St,Brooklyn,11201,No,Older Adult Center
ABSW OAC -OLDER ADULTS ONLY,221 W 107 St,Manhattan,10025,Yes,Older Adult Center
Bergen Basin Midwood OAC -OLDER ADULTS ONLY,2164 Ralph Av,Brooklyn,11234,Yes,Older Adult Center
Raices Astoria NSC -OLDER ADULTS ONLY,21-21 30 Drive,Queens,11102,Yes,Older Adult Center
Samuel Field Y Bay Terrace Older Adult Center -OLDER ADULTS ONLY,21200 23rd Avenue,Queens,11360,Yes,Older Adult Center
Central Harlem St Nick OAC -OLDER ADULTS ONLY,210 West 131st Street,Manhattan,10027,No,Older Adult Center
Bergen Basin Mill Basin OAC -OLDER ADULTS ONLY,2075 E 68 St,Brooklyn,11234,Yes,Older Adult Center
JASA Williamsburg OAC -OLDER ADULTS ONLY,202 Graham Av,Brooklyn,11206,Yes,Older Adult Center
Center on the Square OAC -OLDER ADULTS ONLY,20 Washington Square North,Manhattan,10011,Yes,Older Adult Center
Educational Alliance Weinberg Older Adult Center -OLDER ADULTS ONLY,197 East Broadway,Manhattan,10002,Yes,Older Adult Center
SBH Older Adult Center Senior Pavilion -OLDER ADULTS ONLY,1963 McDonald Avenue,Brooklyn,11223,Yes,Older Adult Center
Albany OAC -OLDER ADULTS ONLY,196 Albany Av,Brooklyn,11213,Yes,Older Adult Center
Grant Sq OAC -OLDER ADULTS ONLY,19 Grant Sq,Brooklyn,11216,Yes,Older Adult Center
University Settlement OAC -OLDER ADULTS ONLY,189 Allen St,Manhattan,10002,No,Older Adult Center
JCCGCI Kings Highway Older Adult Center -OLDER ADULTS ONLY,1879 East 3rd Street,Brooklyn,11223,Yes,Older Adult Center
JASA Van Cortlandt OAC -OLDER ADULTS ONLY,185 West 231st St,Bronx,10463,Yes,Older Adult Center
Council of Peoples Organization: Satellite -OLDER ADULTS ONLY,1814 Coney Island Ave,Brooklyn,11230,Yes,Older Adult Center
NYFSC Mott Street OAC -OLDER ADULTS ONLY,180 Mott St,Manhattan,10012,Yes,Older Adult Center
India Home Desi OAC -OLDER ADULTS ONLY,178-36 Wexford Terrace,Queens,11432,Yes,Older Adult Center
Wayside Out Glenmore Plaza Social Club -OLDER ADULTS ONLY,1777 Pitkin Avenue,Brooklyn,11212,No,Older Adult Center
Grand St Settlement Grand Coalition of Older Adults OAC -OLDER ADULTS ONLY,175 Delancy St 4th FlL,Manhattan,10002,Yes,Older Adult Center
Rochdale Village OAC -OLDER ADULTS ONLY,169-65 137 Av,Queens,11434,Yes,Older Adult Center
CPC Project Open Door Neighborhood OAC -OLDER ADULTS ONLY,168 Grand St,Manhattan,10013,Yes,Older Adult Center
SHOPP Soundview Social Club OAC -OLDER ADULTS ONLY,1674 Seward Avenue,Bronx,10473,No,Older Adult Center
RJ Rangel OAC -OLDER ADULTS ONLY,159-36 Harlem River Drive,Manhattan,10039,No,Older Adult Center
Stuyvesant Gardens Senior Club OAC -OLDER ADULTS ONLY,150 Malcolm X Boulevard,Brooklyn,11221,No,Older Adult Center
Casabe Senior Houses aka East Harlem OAC -OLDER ADULTS ONLY,150 E 121 St,Manhattan,10035,Yes,Older Adult Center
Bernikow OAC -OLDER ADULTS ONLY,1466 Manor Rd,Staten Island,10314,Yes,Older Adult Center
Marcus Garvey OAC -OLDER ADULTS ONLY,1440 East New York Avenue,Brooklyn,11212,No,Older Adult Center
Canaan Senior Service OAC -OLDER ADULTS ONLY,1428 5th Avenue,Manhattan,10026,Yes,Older Adult Center
FIND Aid Hamilton OAC -OLDER ADULTS ONLY,141 W 73 St,Manhattan,10023,Yes,Older Adult Center
Young at Heart Senior Center at the Flatbush YMCA OAC -OLDER ADULTS ONLY,1401 Flatbush Avenue,Brooklyn,11210,Yes,Older Adult Center
Robert Couche OAC -OLDER ADULTS ONLY,137-57 Farmers Blvd,Queens,11434,Yes,Older Adult Center
Seth Low Social Clubs CD16 -OLDER ADULTS ONLY,137 Belmont Avenue,Brooklyn,11212,No,Older Adult Center
Center at the Red Oak OAC -OLDER ADULTS ONLY,135 W 106 St,Manhattan,10025,Yes,Older Adult Center
Jackie Robinson OAC -OLDER ADULTS ONLY,1301 Amsterdam Ave.,Manhattan,10027,Yes,Older Adult Center
New Dorp Beach OAC -OLDER ADULTS ONLY,128 Cedar Grove Avenue,Staten Island,10306,Yes,Older Adult Center
FIND Aid Woodstock OAC -OLDER ADULTS ONLY,127 W 43 St,Manhattan,10036,Yes,Older Adult Center
Congregation Yetev Lev --Williamsburg Satmar OAC -OLDER ADULTS ONLY,125 Heyward St,Brooklyn,11206,Yes,Older Adult Center
Red Hook OAC -OLDER ADULTS ONLY,120 W 9 St,Brooklyn,11231,Yes,Older Adult Center
JASA Club 76 OAC -OLDER ADULTS ONLY,120 W 76 St,Manhattan,10023,Yes,Older Adult Center
ARC XVI Central Harlem OAC -OLDER ADULTS ONLY,120 W 140 St,Manhattan,10030,Yes,Older Adult Center
Hudson Guild OAC -OLDER ADULTS ONLY,119 9th Ave.,Manhattan,10011,Yes,Older Adult Center
CCNS Best Life OAC -OLDER ADULTS ONLY,118-35 Farmers Blvd.,Queens,11412,No,Older Adult Center
Bergen Basin Independence OAC -OLDER ADULTS ONLY,114 Taylor St,Brooklyn,11211,Yes,Older Adult Center
CORONA OAC -OLDER ADULTS ONLY,107-24 Corona Av,Queens,11368,Yes,Older Adult Center
Hope of Israel Senior Citizens Center -OLDER ADULTS ONLY,1068 Gerard Avenue,Bronx,10452,Yes,Older Adult Center
Willoughby OAC -OLDER ADULTS ONLY,105 North Portland Av,Brooklyn,11205,Yes,Older Adult Center
CCNS Ozone Park OAC -OLDER ADULTS ONLY,103-02 101 Av,Queens,11416,Yes,Older Adult Center
"Polish and Slavic Center, Inc -OLDER ADULTS ONLY",103 E 7 St,Manhattan,10009,Yes,Older Adult Center
Council Ctr for Senior Citizens OAC -OLDER ADULTS ONLY,1001 Quentin Rd,Brooklyn,11223,Yes,Older Adult Center
Schomburg Center for Research in Black Culture,515 Malcolm X Boulevard,Manhattan,10037,Yes,Library
Andrew Heiskell Braille & Talking Book Library,40 W 20 St,Manhattan,10011,Yes,Library
Library for the Performing Arts,40 Lincoln Center Plz,Manhattan,10023,Yes,Library
Bronx House Weinberg Neighborhood OAC -OLDER ADULTS ONLY,990 Pelham Pkwy S,Bronx,10461,Yes,Older Adult Center
Riverstone Senior Life Services OAC -OLDER ADULTS ONLY,99 Fort Washington Av,Manhattan,10032,Yes,Older Adult Center
SNAP Eastern Queens OAC (ISC) -OLDER ADULTS ONLY,80-45 Winchester Blvd Bldg. 4,Queens,11427,Yes,Older Adult Center
Leon OAC -OLDER ADULTS ONLY,735 E 152 St,Bronx,10455,Yes,Older Adult Center
MMCC-CDC Older Adult Center Marble Hill OAC -OLDER ADULTS ONLY,5365 Broadway,Bronx,10463,Yes,Older Adult Center
Sunnyside Community Services OAC -OLDER ADULTS ONLY,43-31 39 St,Queens,11104,Yes,Older Adult Center
NYFSC Dyckman Older Adult Center -OLDER ADULTS ONLY,3754 10 Av,Manhattan,10034,Yes,Older Adult Center
East Side House Melrose Older Adult Center -OLDER ADULTS ONLY,372 E 152 St,Bronx,10455,Yes,Older Adult Center
CCNS the Bay OAC -OLDER ADULTS ONLY,3643 Nostrand Av,Brooklyn,11229,Yes,Older Adult Center
Cypress Hills Fulton Street Senior Citizens OAC -OLDER ADULTS ONLY,3208 Fulton St,Brooklyn,11208,Yes,Older Adult Center
Patterson OAC -OLDER ADULTS ONLY,308 East 145 Street,Bronx,10451,No,Older Adult Center
East Side House Borinquen Court Mitchel OAC -OLDER ADULTS ONLY,295 East 138th Street,Bronx,10454,Yes,Older Adult Center
NYFSC LaGuardia OAC -OLDER ADULTS ONLY,280 Cherry St,Manhattan,10002,Yes,Older Adult Center
HANAC Harmony JVL ISC -OLDER ADULTS ONLY,27-40 Hoyt Av South,Queens,11102,Yes,Older Adult Center
Jefferson OAC -OLDER ADULTS ONLY,2205 First Av,Manhattan,10029,Yes,Older Adult Center
Bay Ridge Ctr for Health and Wellness -OLDER ADULTS ONLY,15 Bay Ridge Ave.,Brooklyn,11209,Yes,Older Adult Center
SNAP Brookville OAC -OLDER ADULTS ONLY,133-33 Brookville Blvd,Queens,11422,Yes,Older Adult Center
JASA Brookdale Village OAC -OLDER ADULTS ONLY,131 Beach 19 St,Queens,11691,Yes,Older Adult Center
HMH City Hall OAC -OLDER ADULTS ONLY,100 Gold St,Manhattan,10038,Yes,Older Adult Center
Gaylord White OAC -OLDER ADULTS ONLY,237 EAST 104TH ST,Manhattan,10029,Yes,Older Adult Center
Office of Assembly Member Rebecca A. Seawright,1485 York Avenue,Manhattan,10075,Yes,Other
Selfhelp Latimer NSC -OLDER ADULTS ONLY,34-30 137 St,Queens,11354,Yes,Older Adult Center
JCCGCI Marien-Heim OAC -OLDER ADULTS ONLY,870 Ocean Pkwy,Brooklyn,11230,Yes,Older Adult Center
Frederick Douglass Social Club -OLDER ADULTS ONLY,868 Amsterdam Av,Manhattan,10025,No,Older Adult Center
Selfhelp Maspeth NSC -OLDER ADULTS ONLY,69-61 Grand Av,Queens,11378,Yes,Older Adult Center
Mill Brook OAC -OLDER ADULTS ONLY,570 East 137th Street,Bronx,10454,Yes,Older Adult Center
Cypress Hills Adult Social Club OAC -OLDER ADULTS ONLY,475 Fountain Av,Brooklyn,11208,No,Older Adult Center
Selfhelp Benjamin Rosenthal OAC -OLDER ADULTS ONLY,45-25 Kissena Blvd,Queens,11355,Yes,Older Adult Center
Selfhelp Clearview NSC -OLDER ADULTS ONLY,208-11 26 Av,Queens,11360,Yes,Older Adult Center
Selfhelp Austin Street NSC -OLDER ADULTS ONLY,106-06 Queens Blvd,Queens,11375,Yes,Older Adult Center
JASA Sue Ginsburg OAC -OLDER ADULTS ONLY,975 Waring Avenue,Bronx,10469,Yes,Older Adult Center
QCH Rego Park OAC -OLDER ADULTS ONLY,97-30 Queens Blvd,Queens,11374,Yes,Older Adult Center
JASA HES OAC -OLDER ADULTS ONLY,9502 Seaview Av,Brooklyn,11236,Yes,Older Adult Center
PSS Davidson OAC -OLDER ADULTS ONLY,950 Union Av,Bronx,10459,Yes,Older Adult Center
Meltzer Social Club OAC -OLDER ADULTS ONLY,94 East 1 St,Manhattan,10009,No,Older Adult Center
CCNS Narrows OAC -OLDER ADULTS ONLY,930 53rd St.,Brooklyn,11219,Yes,Older Adult Center
CCNS Hillcrest OAC -OLDER ADULTS ONLY,91-34 182nd Pl,Queens,11432,Yes,Older Adult Center
Agudath Israel Moriah Older Adult Luncheon Club -OLDER ADULTS ONLY,90 Bennett Av,Manhattan,10033,Yes,Older Adult Center
Diana Jones ISC -OLDER ADULTS ONLY,9 Noll St,Brooklyn,11206,Yes,Older Adult Center
